c 536 vertices, 114036 lados, Delta 437
c vertices 0-535
p edge 536 114036
e 217 389
e 512 374
e 310 385
e 3 148
e 121 43
e 269 498
e 509 154
e 393 363
e 383 395
e 475 72
e 216 250
e 7 228
e 383 150
e 475 511
e 216 289
e 7 26
e 383 258
e 475 366
e 216 463
e 7 494
e 383 78
e 475 158
e 216 356
e 7 117
e 383 263
e 475 470
e 216 256
e 7 410
e 383 438
e 475 487
e 216 184
e 7 348
e 383 166
e 475 519
e 216 399
e 7 432
e 383 157
e 475 450
e 216 162
e 7 290
e 383 54
e 475 409
e 216 209
e 7 231
e 46 333
e 468 153
e 75 301
e 215 273
e 46 150
e 468 511
e 75 289
e 215 26
e 46 258
e 468 366
e 75 463
e 215 494
e 46 78
e 468 158
e 75 356
e 215 117
e 46 263
e 468 470
e 75 256
e 215 410
e 46 438
e 468 487
e 75 184
e 215 348
e 46 166
e 468 519
e 75 399
e 215 432
e 46 157
e 468 450
e 75 162
e 215 290
e 46 54
e 468 409
e 75 209
e 215 231
e 329 333
e 417 153
e 481 301
e 461 273
e 329 395
e 417 72
e 481 250
e 461 228
e 329 258
e 417 366
e 481 463
e 461 494
e 329 78
e 417 158
e 481 356
e 461 117
e 329 263
e 417 470
e 481 256
e 461 410
e 329 438
e 417 487
e 481 184
e 461 348
e 329 166
e 417 519
e 481 399
e 461 432
e 329 157
e 417 450
e 481 162
e 461 290
e 329 54
e 417 409
e 481 209
e 461 231
e 524 333
e 484 153
e 251 301
e 219 273
e 524 395
e 484 72
e 251 250
e 219 228
e 524 150
e 484 511
e 251 289
e 219 26
e 524 78
e 484 158
e 251 356
e 219 117
e 524 263
e 484 470
e 251 256
e 219 410
e 524 438
e 484 487
e 251 184
e 219 348
e 524 166
e 484 519
e 251 399
e 219 432
e 524 157
e 484 450
e 251 162
e 219 290
e 524 54
e 484 409
e 251 209
e 219 231
e 94 333
e 204 153
e 272 301
e 355 273
e 94 395
e 204 72
e 272 250
e 355 228
e 94 150
e 204 511
e 272 289
e 355 26
e 94 258
e 204 366
e 272 463
e 355 494
e 94 263
e 204 470
e 272 256
e 355 410
e 94 438
e 204 487
e 272 184
e 355 348
e 94 166
e 204 519
e 272 399
e 355 432
e 94 157
e 204 450
e 272 162
e 355 290
e 94 54
e 204 409
e 272 209
e 355 231
e 464 333
e 334 153
e 179 301
e 420 273
e 464 395
e 334 72
e 179 250
e 420 228
e 464 150
e 334 511
e 179 289
e 420 26
e 464 258
e 334 366
e 179 463
e 420 494
e 464 78
e 334 158
e 179 356
e 420 117
e 464 438
e 334 487
e 179 184
e 420 348
e 464 166
e 334 519
e 179 399
e 420 432
e 464 157
e 334 450
e 179 162
e 420 290
e 464 54
e 334 409
e 179 209
e 420 231
e 283 333
e 247 153
e 252 301
e 336 273
e 283 395
e 247 72
e 252 250
e 336 228
e 283 150
e 247 511
e 252 289
e 336 26
e 283 258
e 247 366
e 252 463
e 336 494
e 283 78
e 247 158
e 252 356
e 336 117
e 283 263
e 247 470
e 252 256
e 336 410
e 283 166
e 247 519
e 252 399
e 336 432
e 283 157
e 247 450
e 252 162
e 336 290
e 283 54
e 247 409
e 252 209
e 336 231
e 286 333
e 167 153
e 423 301
e 425 273
e 286 395
e 167 72
e 423 250
e 425 228
e 286 150
e 167 511
e 423 289
e 425 26
e 286 258
e 167 366
e 423 463
e 425 494
e 286 78
e 167 158
e 423 356
e 425 117
e 286 263
e 167 470
e 423 256
e 425 410
e 286 438
e 167 487
e 423 184
e 425 348
e 286 157
e 167 450
e 423 162
e 425 290
e 286 54
e 167 409
e 423 209
e 425 231
e 74 333
e 500 153
e 503 301
e 486 273
e 74 395
e 500 72
e 503 250
e 486 228
e 74 150
e 500 511
e 503 289
e 486 26
e 74 258
e 500 366
e 503 463
e 486 494
e 74 78
e 500 158
e 503 356
e 486 117
e 74 263
e 500 470
e 503 256
e 486 410
e 74 438
e 500 487
e 503 184
e 486 348
e 74 166
e 500 519
e 503 399
e 486 432
e 74 54
e 500 409
e 503 209
e 486 231
e 445 333
e 415 153
e 90 301
e 453 273
e 445 395
e 415 72
e 90 250
e 453 228
e 445 150
e 415 511
e 90 289
e 453 26
e 445 258
e 415 366
e 90 463
e 453 494
e 445 78
e 415 158
e 90 356
e 453 117
e 445 263
e 415 470
e 90 256
e 453 410
e 445 438
e 415 487
e 90 184
e 453 348
e 445 166
e 415 519
e 90 399
e 453 432
e 445 157
e 415 450
e 90 162
e 453 290
e 217 43
e 512 498
e 310 154
e 3 363
e 389 121
e 374 269
e 385 509
e 148 393
e 315 426
e 287 119
e 141 237
e 236 427
e 426 324
e 119 51
e 237 376
e 427 13
e 324 282
e 51 35
e 376 259
e 13 349
e 282 118
e 35 523
e 259 64
e 349 172
e 118 277
e 523 422
e 64 330
e 172 73
e 277 254
e 422 115
e 330 180
e 73 529
e 254 507
e 115 62
e 180 508
e 529 327
e 507 328
e 62 105
e 508 30
e 327 430
e 328 82
e 105 510
e 30 125
e 430 518
e 217 121
e 512 269
e 310 509
e 3 393
e 389 43
e 374 498
e 385 154
e 148 363
e 31 495
e 377 234
e 171 37
e 323 305
e 31 360
e 377 345
e 171 396
e 323 279
e 31 124
e 377 490
e 171 413
e 323 33
e 31 296
e 377 176
e 171 120
e 323 38
e 31 469
e 377 530
e 171 386
e 323 224
e 31 182
e 377 132
e 171 373
e 323 531
e 31 1
e 377 185
e 171 145
e 323 164
e 31 378
e 377 257
e 171 20
e 323 16
e 31 0
e 377 325
e 171 187
e 323 77
e 31 23
e 377 418
e 171 496
e 323 67
e 31 294
e 377 473
e 171 2
e 323 195
e 31 169
e 377 362
e 171 201
e 323 139
e 31 443
e 377 69
e 171 354
e 323 306
e 31 88
e 377 521
e 171 84
e 323 197
e 31 55
e 377 53
e 171 232
e 323 303
e 31 435
e 377 122
e 171 111
e 323 314
e 31 143
e 377 319
e 171 44
e 323 357
e 31 183
e 377 456
e 171 424
e 323 133
e 31 391
e 377 493
e 171 100
e 323 56
e 31 32
e 377 240
e 171 382
e 323 29
e 31 58
e 377 309
e 171 249
e 323 431
e 31 331
e 377 352
e 171 81
e 323 96
e 31 206
e 377 178
e 171 108
e 323 147
e 31 397
e 377 27
e 171 440
e 323 455
e 31 449
e 377 41
e 171 392
e 323 465
e 31 441
e 377 335
e 171 186
e 323 526
e 31 281
e 377 501
e 171 17
e 323 502
e 495 360
e 234 345
e 37 396
e 305 279
e 495 124
e 234 490
e 37 413
e 305 33
e 495 296
e 234 176
e 37 120
e 305 38
e 495 469
e 234 530
e 37 386
e 305 224
e 495 182
e 234 132
e 37 373
e 305 531
e 495 1
e 234 185
e 37 145
e 305 164
e 495 378
e 234 257
e 37 20
e 305 16
e 495 0
e 234 325
e 37 187
e 305 77
e 495 23
e 234 418
e 37 496
e 305 67
e 495 294
e 234 473
e 37 2
e 305 195
e 495 316
e 234 137
e 37 292
e 305 338
e 495 241
e 234 479
e 37 138
e 305 365
e 495 177
e 234 266
e 37 114
e 305 341
e 495 414
e 234 222
e 37 318
e 305 311
e 495 285
e 234 528
e 37 202
e 305 261
e 495 372
e 234 514
e 37 91
e 305 359
e 495 126
e 234 155
e 37 181
e 305 109
e 495 49
e 234 506
e 37 47
e 305 45
e 495 300
e 234 369
e 37 113
e 305 274
e 495 245
e 234 168
e 37 85
e 305 238
e 495 472
e 234 535
e 37 99
e 305 262
e 495 239
e 234 225
e 37 459
e 305 271
e 495 192
e 234 402
e 37 458
e 305 454
e 495 10
e 234 152
e 37 499
e 305 264
e 495 488
e 234 322
e 37 212
e 305 416
e 495 343
e 234 207
e 37 248
e 305 428
e 360 124
e 345 490
e 396 413
e 279 33
e 360 296
e 345 176
e 396 120
e 279 38
e 360 469
e 345 530
e 396 386
e 279 224
e 360 182
e 345 132
e 396 373
e 279 531
e 360 1
e 345 185
e 396 145
e 279 164
e 360 378
e 345 257
e 396 20
e 279 16
e 360 0
e 345 325
e 396 187
e 279 77
e 360 294
e 345 473
e 396 2
e 279 195
e 360 316
e 345 137
e 396 292
e 279 338
e 360 173
e 345 142
e 396 525
e 279 291
e 360 169
e 345 362
e 396 201
e 279 139
