c 1072 vertices, 84424 lados, Delta 169.
c vertices 0-1071.
p edge 1072 84424
e 156 32
e 1025 328
e 353 702
e 799 1027
e 476 417
e 166 324
e 117 848
e 130 901
e 55 768
e 569 446
e 528 179
e 169 971
e 239 913
e 332 401
e 870 867
e 700 761
e 207 479
e 294 449
e 144 794
e 749 292
e 47 1042
e 108 844
e 876 551
e 390 1002
e 207 311
e 294 420
e 144 614
e 749 606
e 47 198
e 108 1028
e 876 797
e 390 622
e 207 63
e 294 53
e 144 484
e 749 684
e 47 873
e 108 939
e 876 1060
e 390 538
e 207 513
e 294 242
e 144 824
e 749 802
e 47 1068
e 108 862
e 876 611
e 390 203
e 207 421
e 294 261
e 144 190
e 749 695
e 47 20
e 108 381
e 876 527
e 390 96
e 207 928
e 294 249
e 144 557
e 749 525
e 47 215
e 108 320
e 876 979
e 390 206
e 207 814
e 294 504
e 144 1062
e 749 634
e 47 298
e 108 1008
e 876 1043
e 390 683
e 207 137
e 294 965
e 144 443
e 749 1034
e 47 456
e 108 865
e 876 385
e 390 817
e 207 652
e 294 157
e 144 94
e 749 39
e 47 126
e 108 519
e 876 992
e 390 1017
e 62 114
e 440 1007
e 367 407
e 808 598
e 993 427
e 994 394
e 287 377
e 373 1014
e 62 311
e 440 420
e 367 614
e 808 606
e 993 198
e 994 1028
e 287 797
e 373 622
e 62 63
e 440 53
e 367 484
e 808 684
e 993 873
e 994 939
e 287 1060
e 373 538
e 62 513
e 440 242
e 367 824
e 808 802
e 993 1068
e 994 862
e 287 611
e 373 203
e 62 421
e 440 261
e 367 190
e 808 695
e 993 20
e 994 381
e 287 527
e 373 96
e 62 928
e 440 249
e 367 557
e 808 525
e 993 215
e 994 320
e 287 979
e 373 206
e 62 814
e 440 504
e 367 1062
e 808 634
e 993 298
e 994 1008
e 287 1043
e 373 683
e 62 137
e 440 965
e 367 443
e 808 1034
e 993 456
e 994 865
e 287 385
e 373 817
e 62 652
e 440 157
e 367 94
e 808 39
e 993 126
e 994 519
e 287 992
e 373 1017
e 765 114
e 106 1007
e 900 407
e 34 598
e 397 427
e 676 394
e 771 377
e 379 1014
e 765 479
e 106 449
e 900 794
e 34 292
e 397 1042
e 676 844
e 771 551
e 379 1002
e 765 63
e 106 53
e 900 484
e 34 684
e 397 873
e 676 939
e 771 1060
e 379 538
e 765 513
e 106 242
e 900 824
e 34 802
e 397 1068
e 676 862
e 771 611
